Line,Sex,Mean,StError
RP0894,F,0.368019723,0.06562819
RP0895,F,0.029411765,0.019775006
RP0906,F,0.399634503,0.057726218
RP0917,F,0,0
RP0920,F,0.580263158,0.057370044
RP0922,F,0.263888889,0.050556319
RP0923,F,0,0
RP0937,F,0.129020468,0.03820216
RP0941,F,0.243954248,0.050612989
RP0942,F,0.118640351,0.030925371
RP0944,F,0.066666667,0.028613169
RP0946,F,0.131617647,0.038527177
RP0947,F,0.780555556,0.046861577
RP0953,F,0.146381579,0.041951349
RP0964,F,0.267763158,0.050136487
RP0971,F,0.230921053,0.047716648
RP0976,F,0,0
RP0981,F,0.152777778,0.042399674
RP1002,F,0.251354489,0.049759343
RP1014,F,0.53256579,0.058000404
RP1032,F,0.209283626,0.046662843
RP1033,F,0,0
RP1042,F,0.540789474,0.056425151
RP1055,F,0.316520468,0.055993693
RP1061,F,0.038157895,0.021975426
RP1074,F,0.013157895,0.056216204
RP1114,F,0.518421053,0.048293658
RP1126,F,0.205482456,0.013336922
RP1128,F,0.013157895,0.033949124
RP1134,F,0.10131579,0
RP1142,F,0,0.049401361
RP1145,F,0.24122807,0.037781721
RP1170,F,0.127631579,0.013071043
RP1193,F,0,0
RP1196,F,0.239035088,0.04924731
RP1200,F,0.393498452,0.057573313
RP1204,F,0,0
RP1214,F,0,0
RP1216,F,0.025,0.017792089
RP1221,F,0.07998366,0.031969229
RP1225,F,0.418128655,0.056581819
RP1230,F,0.775,0.046687123
RP1232,F,0.295687135,0.052694877
RP1238,F,0.561019737,0.058895538
RP1249,F,0.155482456,0.041295209
RP1258,F,0,0
RP1259,F,0.301835318,0.056505666
RP1271,F,0,0
RP1272,F,0.062745098,0.029850169
RP0002,M,0.346491228,0.05728584
RP0012,M,0.095201238,0.034831175
RP0015,M,0.027777778,0.019234021
RP0022,M,0,0
RP0024,M,0.444444444,0.059391387
RP0029,M,0.493149541,0.061539969
RP0032,M,0,0
RP0033,M,0.03125,0.020505229
RP0038,M,0.76754386,0.049437976
RP0051,M,0.801831502,0.050530818
RP0054,M,0.986842105,0.013157895
RP0058,M,0.981481482,0.013424245
RP0061,M,0.359068628,0.058608026
RP0064,M,0.0125,0.013185433
RP0072,M,0.725447196,0.052234136
RP0075,M,0.115298203,0.038449011
RP0079,M,0.643055556,0.055694037
RP0098,M,0.419444444,0.060741729
RP0104,M,0.647341629,0.061683391
RP0106,M,0.733660131,0.05104285
RP0114,M,0.465789474,0.056846757
RP0116,M,0.243914474,0.04958766
RP0118,M,0.134943978,0.044108597
RP0122,M,0.742260062,0.050845561
RP0143,M,0,0
RP0144,M,0.884722222,0.036160045
RP0169,M,0.454861111,0.061294431
RP0185,M,0.320394737,0.052835248
RP0186,M,0.296710526,0.051723301
RP0187,M,0.054179567,0.027251949
RP0190,M,1,0
RP0202,M,0.191593567,0.044849745
RP0215,M,0.986842105,0.013071043
RP0221,M,0.558144135,0.059784548
RP0227,M,0,0
RP0231,M,0.734375,0.0506625
RP0248,M,0.456140351,0.06597133
RP0249,M,0.734970238,0.052751302
RP0252,M,0.065625,0.031705189
RP0256,M,0.702882206,0.053486499
RP0257,M,0.826964009,0.045212915
RP0269,M,0.886639676,0.040068588
RP0271,M,0.659803922,0.055451164
RP0272,M,0.876934985,0.038449401
RP0276,M,0.9875,0.0125
RP0278,M,0,0
RP0284,M,0.833475232,0.042734534
RP0285,M,0.319648693,0.056552085
RP0289,M,0.210413442,0.049796545
RP0292,M,0.0125,0.013473149
RP0303,M,0.185153388,0.051002301
RP0305,M,0.156948744,0.043476732
RP0314,M,0.134226986,0.044761842
RP0317,M,0.34502924,0.054891901
RP0326,M,0.9875,0.012744323
RP0328,M,0.429377365,0.05958947
RP0334,M,0.105314758,0.037224193
RP0336,M,0.862401101,0.041173057
RP0356,M,0.260298418,0.05244632
RP0365,M,0.240483785,0.053844475
RP0367,M,0.144543344,0.040335854
RP0373,M,0.484188034,0.06246874
RP0386,M,0.767437436,0.051612393
RP0392,M,0.453874269,0.058271027
RP0396,M,0.397034252,0.058480528
